codigo_provincia,codigo_departamento,codigo_circuito,codigo_mesa,codigo_partido,votos
1,1,1,9,3006,29
1,1,1,9,3007,31
1,1,1,9,3008,0
1,1,1,9,503,57
1,1,1,9,3009,3
1,1,1,9,505,15
1,1,1,9,506,11
1,1,1,10,9001,349
1,1,1,10,9002,264
1,1,1,10,9003,0
1,1,1,10,9004,4
1,1,1,10,9005,2
1,1,1,10,9006,0
1,1,1,10,8,1
1,1,1,10,68,5
1,1,1,10,187,7
1,1,1,10,3001,3
1,1,1,10,3002,0
1,1,1,10,3003,0
1,1,1,10,3004,0
1,1,1,10,234,2
1,1,1,10,324,1
1,1,1,10,325,0
1,1,1,10,501,68
1,1,1,10,3005,16
1,1,1,10,3006,24
1,1,1,10,3007,34
1,1,1,10,3008,1
1,1,1,10,503,82
1,1,1,10,3009,3
1,1,1,10,505,7
1,1,1,10,506,2
1,1,1,11,9001,349
1,1,1,11,9002,249
1,1,1,11,9003,0
1,1,1,11,9004,4
1,1,1,11,9005,5
1,1,1,11,9006,0
1,1,1,11,8,2
1,1,1,11,68,4
1,1,1,11,187,7
1,1,1,11,3001,2
1,1,1,11,3002,0
1,1,1,11,3003,0
1,1,1,11,3004,0
1,1,1,11,234,1
1,1,1,11,324,1
1,1,1,11,325,0
1,1,1,11,501,68
1,1,1,11,3005,12
1,1,1,11,3006,24
1,1,1,11,3007,23
1,1,1,11,3008,3
1,1,1,11,503,60
1,1,1,11,3009,6
1,1,1,11,505,16
1,1,1,11,506,11
1,1,1,12,9001,349
1,1,1,12,9002,257
1,1,1,12,9003,0
1,1,1,12,9004,2
1,1,1,12,9005,1
1,1,1,12,9006,0
1,1,1,12,8,0
1,1,1,12,68,4
1,1,1,12,187,4
1,1,1,12,3001,0
1,1,1,12,3002,0
1,1,1,12,3003,0
1,1,1,12,3004,2
1,1,1,12,234,4
1,1,1,12,324,1
1,1,1,12,325,1
1,1,1,12,501,75
1,1,1,12,3005,12
1,1,1,12,3006,19
1,1,1,12,3007,35
1,1,1,12,3008,6
1,1,1,12,503,64
1,1,1,12,3009,8
1,1,1,12,505,0
1,1,1,12,506,0
1,1,1,13,9001,350
1,1,1,13,9002,255
1,1,1,13,9003,0
1,1,1,13,9004,4
1,1,1,13,9005,5
1,1,1,13,9006,0
1,1,1,13,8,1
1,1,1,13,68,8
1,1,1,13,187,4
1,1,1,13,3001,1
1,1,1,13,3002,0
1,1,1,13,3003,0
1,1,1,13,3004,0
1,1,1,13,234,1
1,1,1,13,324,3
1,1,1,13,325,4
1,1,1,13,501,64
1,1,1,13,3005,15
1,1,1,13,3006,26
1,1,1,13,3007,40
1,1,1,13,3008,1
1,1,1,13,503,57
1,1,1,13,3009,7
1,1,1,13,505,8
1,1,1,13,506,6
1,1,1,14,9001,348
1,1,1,14,9002,256
1,1,1,14,9003,0
1,1,1,14,9004,4
1,1,1,14,9005,4
1,1,1,14,9006,0
1,1,1,14,8,1
1,1,1,14,68,6
1,1,1,14,187,5
1,1,1,14,3001,0
1,1,1,14,3002,0
1,1,1,14,3003,2
1,1,1,14,3004,1
1,1,1,14,234,1
1,1,1,14,324,0
1,1,1,14,325,4
1,1,1,14,501,57
1,1,1,14,3005,10
1,1,1,14,3006,25
1,1,1,14,3007,35
1,1,1,14,3008,1
1,1,1,14,503,81
1,1,1,14,3009,6
1,1,1,14,505,11
1,1,1,14,506,6
1,1,1,15,9001,350
1,1,1,15,9002,235
1,1,1,15,9003,0
1,1,1,15,9004,2
1,1,1,15,9005,5
1,1,1,15,9006,0
1,1,1,15,8,0
1,1,1,15,68,5
1,1,1,15,187,4
1,1,1,15,3001,1
1,1,1,15,3002,0
1,1,1,15,3003,0
1,1,1,15,3004,0
1,1,1,15,234,2
1,1,1,15,324,1
1,1,1,15,325,2
1,1,1,15,501,65
1,1,1,15,3005,8
1,1,1,15,3006,24
1,1,1,15,3007,23
1,1,1,15,3008,1
1,1,1,15,503,72
1,1,1,15,3009,5
1,1,1,15,505,10
1,1,1,15,506,5
1,1,1,16,9001,350
1,1,1,16,9002,241
1,1,1,16,9003,0
1,1,1,16,9004,1
1,1,1,16,9005,1
1,1,1,16,9006,0
1,1,1,16,8,0
1,1,1,16,68,96
1,1,1,16,187,9
1,1,1,16,3001,1
1,1,1,16,3002,0
1,1,1,16,3003,1
1,1,1,16,3004,1
1,1,1,16,234,5
1,1,1,16,324,2
1,1,1,16,325,1
1,1,1,16,501,58
1,1,1,16,3005,8
1,1,1,16,3006,25
1,1,1,16,3007,35
1,1,1,16,3008,0
1,1,1,16,503,65
1,1,1,16,3009,4
1,1,1,16,505,15
1,1,1,16,506,3
1,1,1,17,9001,348
1,1,1,17,9002,244
1,1,1,17,9003,1
1,1,1,17,9004,6
1,1,1,17,9005,1
1,1,1,17,9006,0
1,1,1,17,8,2
