codigo_provincia,codigo_departamento,codigo_circuito,codigo_mesa,codigo_partido,votos
6,1,1,1,9001,345
6,1,1,1,9002,251
6,1,1,1,9003,0
6,1,1,1,9004,7
6,1,1,1,9005,0
6,1,1,1,9006,0
6,1,1,1,60,0
6,1,1,1,14,19
6,1,1,1,179,3
6,1,1,1,182,15
6,1,1,1,3119,0
6,1,1,1,3122,11
6,1,1,1,3120,1
6,1,1,1,3118,36
6,1,1,1,518,19
6,1,1,1,3123,90
6,1,1,1,3124,49
6,1,1,2,9001,344
6,1,1,2,9002,246
6,1,1,2,9003,0
6,1,1,2,9004,18
6,1,1,2,9005,6
6,1,1,2,9006,0
6,1,1,2,60,1
6,1,1,2,14,7
6,1,1,2,179,3
6,1,1,2,182,13
6,1,1,2,3119,4
6,1,1,2,3122,9
6,1,1,2,3120,1
6,1,1,2,3118,38
6,1,1,2,518,10
6,1,1,2,3123,86
6,1,1,2,3124,50
6,1,1,3,9001,344
6,1,1,3,9002,253
6,1,1,3,9003,0
6,1,1,3,9004,19
6,1,1,3,9005,0
6,1,1,3,9006,1
6,1,1,3,60,1
6,1,1,3,14,9
6,1,1,3,179,7
6,1,1,3,182,15
6,1,1,3,3119,2
6,1,1,3,3122,11
6,1,1,3,3120,0
6,1,1,3,3118,47
6,1,1,3,518,7
6,1,1,3,3123,85
6,1,1,3,3124,49
6,1,1,4,9001,345
6,1,1,4,9002,270
6,1,1,4,9003,0
6,1,1,4,9004,19
6,1,1,4,9005,1
6,1,1,4,9006,0
6,1,1,4,60,2
6,1,1,4,14,15
6,1,1,4,179,3
6,1,1,4,182,20
6,1,1,4,3119,0
6,1,1,4,3122,3
6,1,1,4,3120,1
6,1,1,4,3118,53
6,1,1,4,518,14
6,1,1,4,3123,102
6,1,1,4,3124,37
6,1,1,5,9001,345
6,1,1,5,9002,244
6,1,1,5,9003,1
6,1,1,5,9004,1
6,1,1,5,9005,15
6,1,1,5,9006,0
6,1,1,5,60,5
6,1,1,5,14,19
6,1,1,5,179,4
6,1,1,5,182,15
6,1,1,5,3119,0
6,1,1,5,3122,4
6,1,1,5,3120,3
6,1,1,5,3118,42
