codigo_provincia,provincia,codigo_departamento,departamento,codigo_partido,partido,lista_interna,agrupacion,votos
1,CIUDAD AUTÓNOMA BS.AS.,2,Comuna 2,9001,ELECTORES,,9001,148509
1,CIUDAD AUTÓNOMA BS.AS.,2,Comuna 2,9002,VOTANTES,,9002,90247
1,CIUDAD AUTÓNOMA BS.AS.,2,Comuna 2,9003,VOTOS IMPUGNADOS,,9003,15
1,CIUDAD AUTÓNOMA BS.AS.,2,Comuna 2,9004,VOTOS BLANCOS,,9004,1351
1,CIUDAD AUTÓNOMA BS.AS.,2,Comuna 2,9005,VOTOS NULOS,,9005,1134
1,CIUDAD AUTÓNOMA BS.AS.,2,Comuna 2,9006,VOTOS RECURRIDOS,,9006,16
1,CIUDAD AUTÓNOMA BS.AS.,2,Comuna 2,9007,EMPADRONADOS,,9007,149201
1,CIUDAD AUTÓNOMA BS.AS.,3,Comuna 3,8,PARTIDO FEDERAL,,8,445
1,CIUDAD AUTÓNOMA BS.AS.,3,Comuna 3,68,NUEVA IZQUIERDA,,68,1816
1,CIUDAD AUTÓNOMA BS.AS.,3,Comuna 3,187,AUTODETERMINACION Y LIBERTAD,,187,3009
1,CIUDAD AUTÓNOMA BS.AS.,3,Comuna 3,234,MOVIMIENTO AL SOCIALISMO,,234,1221
1,CIUDAD AUTÓNOMA BS.AS.,3,Comuna 3,324,PARTIDO FE,,324,478
1,CIUDAD AUTÓNOMA BS.AS.,3,Comuna 3,325,MOVIMIENTO UNIDAD DEL TRABAJO Y LA PRODUCCION,,325,832
1,CIUDAD AUTÓNOMA BS.AS.,3,Comuna 3,501,FRENTE PARA LA VICTORIA,,501,26206
1,CIUDAD AUTÓNOMA BS.AS.,3,Comuna 3,503,UNION PRO,,503,33634
1,CIUDAD AUTÓNOMA BS.AS.,3,Comuna 3,505,FRENTE DE IZQUIERDA Y DE LOS TRABAJADORES,,505,5143
1,CIUDAD AUTÓNOMA BS.AS.,3,Comuna 3,506,CAMINO POPULAR,,506,3224
1,CIUDAD AUTÓNOMA BS.AS.,3,Comuna 3,3001,EL MOVIMIENTO,LISTA A - SEGURIDAD Y JUSTICIA PARA TODOS,262,745
1,CIUDAD AUTÓNOMA BS.AS.,3,Comuna 3,3002,EL MOVIMIENTO,LISTA B - REAFIRMACION,262,109
1,CIUDAD AUTÓNOMA BS.AS.,3,Comuna 3,3003,EL MOVIMIENTO,LISTA C - RECUPERACION DEMOCRATICA,262,96
1,CIUDAD AUTÓNOMA BS.AS.,3,Comuna 3,3004,EL MOVIMIENTO,LISTA D - RENOVACION,262,368
1,CIUDAD AUTÓNOMA BS.AS.,3,Comuna 3,3005,UNEN,LISTA JUNTOS,502,7018
1,CIUDAD AUTÓNOMA BS.AS.,3,Comuna 3,3006,UNEN,LISTA SUMA MAS,502,11244
1,CIUDAD AUTÓNOMA BS.AS.,3,Comuna 3,3007,UNEN,LISTA COALICION SUR,502,16021
1,CIUDAD AUTÓNOMA BS.AS.,3,Comuna 3,3008,UNEN,LISTA PRESIDENTE ILLIA,502,842
1,CIUDAD AUTÓNOMA BS.AS.,3,Comuna 3,3009,COMPROMISO FEDERAL,SIGLO 21 LETRA -A,504,2870
1,CIUDAD AUTÓNOMA BS.AS.,3,Comuna 3,9001,ELECTORES,,9001,166796
1,CIUDAD AUTÓNOMA BS.AS.,3,Comuna 3,9002,VOTANTES,,9002,114985
1,CIUDAD AUTÓNOMA BS.AS.,3,Comuna 3,9003,VOTOS IMPUGNADOS,,9003,85
1,CIUDAD AUTÓNOMA BS.AS.,3,Comuna 3,9004,VOTOS BLANCOS,,9004,2066
1,CIUDAD AUTÓNOMA BS.AS.,3,Comuna 3,9005,VOTOS NULOS,,9005,1859
1,CIUDAD AUTÓNOMA BS.AS.,3,Comuna 3,9006,VOTOS RECURRIDOS,,9006,50
1,CIUDAD AUTÓNOMA BS.AS.,3,Comuna 3,9007,EMPADRONADOS,,9007,167136
1,CIUDAD AUTÓNOMA BS.AS.,4,Comuna 4,8,PARTIDO FEDERAL,,8,478
1,CIUDAD AUTÓNOMA BS.AS.,4,Comuna 4,68,NUEVA IZQUIERDA,,68,1978
1,CIUDAD AUTÓNOMA BS.AS.,4,Comuna 4,187,AUTODETERMINACION Y LIBERTAD,,187,2992
1,CIUDAD AUTÓNOMA BS.AS.,4,Comuna 4,234,MOVIMIENTO AL SOCIALISMO,,234,1483
1,CIUDAD AUTÓNOMA BS.AS.,4,Comuna 4,324,PARTIDO FE,,324,590
1,CIUDAD AUTÓNOMA BS.AS.,4,Comuna 4,325,MOVIMIENTO UNIDAD DEL TRABAJO Y LA PRODUCCION,,325,1181
1,CIUDAD AUTÓNOMA BS.AS.,4,Comuna 4,501,FRENTE PARA LA VICTORIA,,501,33194
1,CIUDAD AUTÓNOMA BS.AS.,4,Comuna 4,503,UNION PRO,,503,41690
1,CIUDAD AUTÓNOMA BS.AS.,4,Comuna 4,505,FRENTE DE IZQUIERDA Y DE LOS TRABAJADORES,,505,5481
1,CIUDAD AUTÓNOMA BS.AS.,4,Comuna 4,506,CAMINO POPULAR,,506,2801
1,CIUDAD AUTÓNOMA BS.AS.,4,Comuna 4,3001,EL MOVIMIENTO,LISTA A - SEGURIDAD Y JUSTICIA PARA TODOS,262,858
1,CIUDAD AUTÓNOMA BS.AS.,4,Comuna 4,3002,EL MOVIMIENTO,LISTA B - REAFIRMACION,262,190
1,CIUDAD AUTÓNOMA BS.AS.,4,Comuna 4,3003,EL MOVIMIENTO,LISTA C - RECUPERACION DEMOCRATICA,262,184
1,CIUDAD AUTÓNOMA BS.AS.,4,Comuna 4,3004,EL MOVIMIENTO,LISTA D - RENOVACION,262,584
1,CIUDAD AUTÓNOMA BS.AS.,4,Comuna 4,3005,UNEN,LISTA JUNTOS,502,5524
1,CIUDAD AUTÓNOMA BS.AS.,4,Comuna 4,3006,UNEN,LISTA SUMA MAS,502,10090
1,CIUDAD AUTÓNOMA BS.AS.,4,Comuna 4,3007,UNEN,LISTA COALICION SUR,502,14770
1,CIUDAD AUTÓNOMA BS.AS.,4,Comuna 4,3008,UNEN,LISTA PRESIDENTE ILLIA,502,897
