codigo_partido,partido,lista_interna,agrupacion
3392,FRENTE PROGRESISTA CIVICO Y SOCIAL,TODOS POR ECHEVARRIA - Q,514
3393,FRENTE PROGRESISTA CIVICO Y SOCIAL,TODOS POR VARELA - Z,514
3394,FRENTE PROGRESISTA CIVICO Y SOCIAL,CONSULTA Y ACCION - MN,514
3395,FRENTE PROGRESISTA CIVICO Y SOCIAL,ENCUENTRO PROGRESISTA EN F VARELA - JO,514
3396,FRENTE PROGRESISTA CIVICO Y SOCIAL,CAMBIO PROGRESISTA - NX,514
3397,FRENTE PROGRESISTA CIVICO Y SOCIAL,PROYECTO MATANZA - HD,514
3398,FRENTE PROGRESISTA CIVICO Y SOCIAL,UNIDAD - JF,514
3399,FRENTE PROGRESISTA CIVICO Y SOCIAL,PROGRESISTAS DE LANUS - P17,514
3400,FRENTE PROGRESISTA CIVICO Y SOCIAL,PROGRESISMO DE LOBOS - HD,514
3401,FRENTE PARA LA VICTORIA,LISTA 6 - CELESTE Y BLANCA K,501
3402,UNION CON FE,UNION CON FE - 03 - A,513
3403,UNION CON FE,UNION CON FE PAIS - B,513
3404,FRENTE PARA LA VICTORIA,LISTA 8 - CELESTE Y BLANCA K,501
3405,FRENTE PROGRESISTA CIVICO Y SOCIAL,CONTRACORRIENTE - NQ,514
3406,FRENTE PROGRESISTA CIVICO Y SOCIAL,UNIDOS POR EDUCACION Y TRABAJO - JN,514
3407,FRENTE PROGRESISTA CIVICO Y SOCIAL,ACUERDO PROGRESISTA DE QUILMES - N,514
3408,FRENTE PROGRESISTA CIVICO Y SOCIAL,FRENTE CIVICO POR QUILMES - MU,514
3409,FRENTE PROGRESISTA CIVICO Y SOCIAL,PROGRESISTAS DE QUILMES - GT,514
3410,FRENTE PROGRESISTA CIVICO Y SOCIAL,INTRANSIGENCIA Y RENOVACION - GE,514
3411,FRENTE PROGRESISTA CIVICO Y SOCIAL,UNIDAD Y RENOVACION -GX,514
3412,FRENTE PROGRESISTA CIVICO Y SOCIAL,VECINOS SOLIDARIOS SANVICENTINOS - GN,514
3413,FRENTE PROGRESISTA CIVICO Y SOCIAL,UNIDAD PARA EL DESARROLLO LOCAL - MM,514
3414,FRENTE PROGRESISTA CIVICO Y SOCIAL,CONSTRUCCION BRAGADENSE - O,514
3415,FRENTE PROGRESISTA CIVICO Y SOCIAL,UNION PROGRESISTA BRAGADO - MC,514
3416,FRENTE PROGRESISTA CIVICO Y SOCIAL,MAS DEMOCRACIA - LF,514
3417,FRENTE PROGRESISTA CIVICO Y SOCIAL,TODOS POR CHACABUCO - HP,514
3418,FRENTE PROGRESISTA CIVICO Y SOCIAL,UNION PROGRESISTA CHIVILCOY - JZ,514
3419,FRENTE PROGRESISTA CIVICO Y SOCIAL,CHIVILCOY FUTURO - MG,514
3420,FRENTE PROGRESISTA CIVICO Y SOCIAL,RENOVACION GRAL ARENALES - ND,514
3421,UNION CON FE,UCF03EZE 02 - S,513
3422,FRENTE PROGRESISTA CIVICO Y SOCIAL,UNION PROGRESISTA GRAL ARENALES - JL,514
3423,FRENTE PROGRESISTA CIVICO Y SOCIAL,ACUERDO PROGRESISTA GRAL PINTO - HE,514
3424,FRENTE PROGRESISTA CIVICO Y SOCIAL,FRENTE PROGRESISTA GRAL VIAMONTE - JU,514
3425,FRENTE PROGRESISTA CIVICO Y SOCIAL,FRENTE PROGRESISTA VILLEGUENSE - HZ,514
3426,FRENTE PROGRESISTA CIVICO Y SOCIAL,UNION PROGRESISTA GRAL VILLEGAS - GA,514
3427,FRENTE PROGRESISTA CIVICO Y SOCIAL,CONVOCATORIA POR JUNIN - MH,514
3428,FRENTE PROGRESISTA CIVICO Y SOCIAL,AHORA JUNIN - JE,514
3429,FRENTE PROGRESISTA CIVICO Y SOCIAL,MILITANCIA - GQ,514
3430,FRENTE PROGRESISTA CIVICO Y SOCIAL,ESPERANZA POR LINCOLN - NC,514
3431,FRENTE PROGRESISTA CIVICO Y SOCIAL,HONESTIDAD Y TRANSPARENCIA - JM,514
3432,FRENTE PROGRESISTA CIVICO Y SOCIAL,TODOS POR NUEVE DE JULIO - V,514
3433,FRENTE PROGRESISTA CIVICO Y SOCIAL,UNION CIVICA PROGRESISTA PEHUAJO - HB,514
3434,FRENTE PROGRESISTA CIVICO Y SOCIAL,UNIDAD TRENQUE LAUQUEN - HT,514
3435,FRENTE PROGRESISTA CIVICO Y SOCIAL,UNION PROGRESISTA AMEGHINO - JD,514
3436,FRENTE PROGRESISTA CIVICO Y SOCIAL,UNIDAD PROGRESISTA BOLIVAR - JC,514
3437,FRENTE PROGRESISTA CIVICO Y SOCIAL,PROGRESISMO BOLIVAR - GH,514
3438,FRENTE PROGRESISTA CIVICO Y SOCIAL,ACUERDO CIVICO PROGRESISTA - HJ,514
3439,FRENTE PROGRESISTA CIVICO Y SOCIAL,LISTA ROSA - NY,514
3440,FRENTE PROGRESISTA CIVICO Y SOCIAL,FRENTE AL FUTURO - GZ,514
3441,FRENTE PROGRESISTA CIVICO Y SOCIAL,ACUERDO CIVICO PROGRESISTA - MV,514
3442,FRENTE PROGRESISTA CIVICO Y SOCIAL,GESTION Y COMPROMISO 25 DE MAYO - GM,514
3443,FRENTE PROGRESISTA CIVICO Y SOCIAL,UNIDAD PROGRESISTA 25 DE MAYO - MI,514
3444,FRENTE PROGRESISTA CIVICO Y SOCIAL,BALCARCE SOÑADO - GD,514
3445,FRENTE PROGRESISTA CIVICO Y SOCIAL,FRENTE PROGRESISTA BALCARCE - GJ,514
3446,FRENTE PROGRESISTA CIVICO Y SOCIAL,RUPA - T,514
3447,FRENTE PROGRESISTA CIVICO Y SOCIAL,TRABAJO Y COMPROMISO POR DOLORES - MA,514
3448,FRENTE PROGRESISTA CIVICO Y SOCIAL,INTEGRACION - JP,514
3449,FRENTE PROGRESISTA CIVICO Y SOCIAL,PROPUESTA MARPLATENSE - JT,514
3450,FRENTE PROGRESISTA CIVICO Y SOCIAL,PARTICIPACION PROGRESISTA - ME,514
3451,FRENTE PROGRESISTA CIVICO Y SOCIAL,RENOVACION POR MONTE - GR,514
3452,FRENTE PARA LA VICTORIA,LISTA 9 - CELESTE Y BLANCA K,501
3453,FRENTE PROGRESISTA CIVICO Y SOCIAL,PROGRESISTAS POR SAN CAYETANO - LD,514
3454,FRENTE PROGRESISTA CIVICO Y SOCIAL,FRENTE POR TORDILLO - GB,514
3455,FRENTE PROGRESISTA CIVICO Y SOCIAL,PENSAR MEJOR LA COSTA - HU,514
3456,FRENTE PROGRESISTA CIVICO Y SOCIAL,UNION PROGRESISTA LEZAMA - NE,514
3457,FRENTE PROGRESISTA CIVICO Y SOCIAL,RECUPEREMOS BAHIA - E,514
3458,FRENTE PROGRESISTA CIVICO Y SOCIAL,UNIR POR BAHIA - HW,514
3459,FRENTE PROGRESISTA CIVICO Y SOCIAL,FRENTE PROGRESISTA DORREGUENSE - GV,514
3460,FRENTE PROGRESISTA CIVICO Y SOCIAL,UNION POR PRINGLES 2013 - HV,514
3461,FRENTE PROGRESISTA CIVICO Y SOCIAL,LINEA PRINGLES - HF,514
3462,FRENTE PROGRESISTA CIVICO Y SOCIAL,UNION PROGRESISTA CORONEL ROSALES - GI,514
3463,INTEGRACION VECINALISTA ROSALEÑA,LISTA BLANCA - A,351
3464,INTEGRACION VECINALISTA ROSALEÑA,ABRIL 19 - B,351
3465,FRENTE PROGRESISTA CIVICO Y SOCIAL,UNION PARA LA ACCION - GP,514
3466,FRENTE PROGRESISTA CIVICO Y SOCIAL,UNION PROGRESISTA BENITO JUAREZ - GF,514
3467,FRENTE PROGRESISTA CIVICO Y SOCIAL,CRECIMIENTO VACINAL - GY,514
3468,FRENTE PROGRESISTA CIVICO Y SOCIAL,ALTERNATIVA - NJ,514
3469,FRENTE PROGRESISTA CIVICO Y SOCIAL,UNION PROGRESISTA 3 ARROYOS - MW,514
3470,FRENTE PROGRESISTA CIVICO Y SOCIAL,MONTE HERMOSO UNIDO PROGRESISTA - Y,514
3471,FRENTE PROGRESISTA CIVICO Y SOCIAL,MAS DEMOCRACIA VILLARINO - JH,514
3472,FRENTE PROGRESISTA CIVICO Y SOCIAL,UNIDAD - NB,514
9001,ELECTORES,,9001
9002,VOTANTES,,9002
9003,VOTOS IMPUGNADOS,,9003
9004,VOTOS BLANCOS,,9004
9005,VOTOS NULOS,,9005
9006,VOTOS RECURRIDOS,,9006
9007,EMPADRONADOS,,9007
