codigo_partido,partido,lista_interna,agrupacion
525,FRENTE PAMPEANO CIVICO Y SOCIAL - FREPAM,,525
526,FRENTE PROPUESTA FEDERAL,,526
527,UNION PD-PRO,,527
528,FRENTE AMPLIO PROGRESISTA-COALICION CIVICA-ARI,,528
529,FRENTE RENOVADOR DE LA CONCORDIA,,529
531,FRENTE UNIDOS,,531
532,COMPROMISO CIVICO NEUQUINO,,532
533,FRENTE PROGRESISTA SUR,,533
534,ALIANZA FRENTE PROGRESISTA,,534
535,FRENTE POPULAR SALTEÑO,,535
536,UNION POR LA REPUBLICA - FRENTE POR LA JUSTICIA,,536
537,FRENTE DEL PUEBLO,,537
538,UNION PARA VIVIR MEJOR,,538
539,"UNITE! CON FE POR LA CULTURA, EDUCACION Y TRABAJO",,539
540,FRENTE POPULAR,,540
541,FRENTE CIVICO POR SANTIAGO,,541
542,ALTERNATIVA POPULAR,,542
543,FRENTE ACUERDO CIVICO Y SOCIAL,,543
544,UNION FEDERAL,,544
545,ALIANZA UNION POR ENTRE RIOS,,545
546,ALIANZA FRENTE AMPLIO PROGRESISTA,,546
547,UNION PRO SANTA FE FEDERAL,,547
548,FUERZA CIVICA RIOJANA,,548
549,FRENTE NUEVO PACTO FEDERAL,,549
550,FRENTE POR LA LIBERTAD,,550
3001,EL MOVIMIENTO,LISTA A - SEGURIDAD Y JUSTICIA PARA TODOS,262
3002,EL MOVIMIENTO,LISTA B - REAFIRMACION,262
3003,EL MOVIMIENTO,LISTA C - RECUPERACION DEMOCRATICA,262
3004,EL MOVIMIENTO,LISTA D - RENOVACION,262
3005,UNEN,LISTA JUNTOS,502
3006,UNEN,LISTA SUMA MAS,502
3007,UNEN,LISTA COALICION SUR,502
3008,UNEN,LISTA PRESIDENTE ILLIA,502
3009,COMPROMISO FEDERAL,SIGLO 21 LETRA -A,504
3010,COMPROMISO FEDERAL,LISTA -A- UNO DE NOSOTROS,504
3011,COMPROMISO FEDERAL,LISTA B - ACUERDO PATRIOTICO,504
3012,COMPROMISO FEDERAL,LISTA C - UPAU UNION PARA UNA ARGENTINA UNIDA,504
3013,COMPROMISO FEDERAL,LISTA D - TODOS UNIDOS,504
3014,COMPROMISO FEDERAL,LISTA E - UNIDOS ES MEJOR,504
3015,COMPROMISO FEDERAL,LISTA F - REFUNDACION DEMOCRATA CRISTIANA,504
3016,COMPROMISO FEDERAL,ES POSIBLE - E,504
